t,regular,regular_dc_fast,regular_dc_slow,flag,pole,newspaper,door,football,dancing,snorkel,snorkel_flag,zomboni,dolphin,dolphin_flag,jack,balloon,digger,digger_flag,pogo,ladder,catapult,gargantuar
0,780,780,780,800,870,780,780,780,780,780,820,800,780,820,780,780,780,820,780,780,825,845
1,779.77,779.77,779.847,799.74,869.685,779.929,779.77,779.233,780,779.684,819.684,799.75,779.701,819.701,780,779.63,779.32,819.32,779.55,779.783,824.63,844.691
2,779.54,779.542,779.697,799.481,869.369,779.859,779.54,778.466,780,779.368,819.368,799.5,779.401,819.401,780,779.26,778.64,818.64,779.1,779.566,824.26,844.382
3,779.311,779.323,779.55,799.221,869.054,779.788,779.311,777.699,780,779.052,819.052,799.25,779.102,819.102,780,778.89,777.96,817.96,778.65,779.348,823.89,844.073
4,779.081,779.125,779.407,798.962,868.739,779.717,779.081,776.932,780,778.737,818.737,799,778.803,818.803,779.826,778.52,777.28,817.28,778.2,779.104,823.52,843.764
5,778.851,778.919,779.266,798.702,868.423,779.647,778.851,776.165,780,778.421,818.421,798.75,778.503,818.503,779.651,778.15,776.6,816.6,777.75,778.86,823.15,843.455
6,778.621,778.727,779.122,798.463,868.068,779.576,778.621,775.398,780,778.085,818.085,798.5,778.204,818.204,779.477,777.78,775.92,815.92,777.3,778.615,822.78,843.146
7,778.391,778.515,779,798.223,867.714,779.505,778.391,774.631,780,777.749,817.749,798.25,777.905,817.905,779.303,777.41,775.24,815.24,776.85,778.371,822.41,842.837
8,778.162,778.337,778.866,797.984,867.398,779.435,778.162,773.864,780,777.414,817.414,798,777.633,817.633,779.128,777.04,774.56,814.56,776.4,778.154,822.04,842.528
9,777.932,778.125,778.722,797.744,867.083,779.364,777.932,773.097,779.16,777.078,817.078,797.75,777.361,817.361,778.954,776.67,773.88,813.88,775.95,777.936,821.67,842.219
10,777.702,777.942,778.584,797.505,866.768,779.293,777.702,772.33,778.32,776.743,816.743,797.5,777.089,817.089,778.78,776.3,773.2,813.2,775.5,777.719,821.3,841.91
11,777.472,777.762,778.462,797.245,866.452,779.223,777.472,771.563,777.48,776.407,816.407,797.25,776.816,816.816,778.576,775.93,772.52,812.52,775.05,777.502,820.93,841.601
12,777.242,777.542,778.315,796.986,866.137,779.152,777.242,770.796,776.64,776.071,816.071,797,776.517,816.517,778.373,775.56,771.84,811.84,774.6,777.285,820.56,841.292
13,777.013,777.336,778.204,796.726,865.821,779.081,777.013,770.029,775.824,775.736,815.736,796.75,776.218,816.218,778.17,775.19,771.16,811.16,774.15,777.067,820.19,840.984
14,776.783,777.124,778.055,796.467,865.467,779.01,776.783,769.262,775.008,775.4,815.4,796.5,775.918,815.918,777.966,774.82,770.48,810.48,773.7,776.85,819.82,840.675
15,776.553,776.934,777.933,796.207,865.112,778.94,776.553,768.495,774.192,775.064,815.064,796.25,775.619,815.619,776.92,774.45,769.8,809.8,773.25,776.633,819.45,840.366
16,776.323,776.762,777.806,795.948,864.797,778.869,776.323,767.728,773.376,774.749,814.749,796,774.857,814.857,775.874,774.08,769.12,809.12,772.8,775.846,819.08,840.057
17,776.093,776.574,777.661,795.688,864.481,778.798,776.093,767.632,772.56,774.433,814.433,795.75,774.095,814.095,774.828,773.71,768.44,808.44,772.35,775.058,818.71,839.748
18,775.864,776.384,777.529,795.429,864.166,778.728,775.864,767.536,771.744,774.117,814.117,795.5,773.333,813.333,773.782,773.34,767.76,807.76,771.9,774.271,818.34,839.439
19,775.617,776.207,777.384,795.169,863.851,778.657,775.617,767.44,770.928,773.801,813.801,795.25,772.572,812.572,772.737,772.97,767.08,807.08,771.45,773.483,817.97,839.13
20,775.371,776.014,777.26,794.91,863.535,778.586,775.371,767.376,770.112,773.485,813.485,795,771.81,811.81,771.691,772.6,766.4,806.4,771,772.696,817.6,838.821
