t,regular,regular_dc_fast,regular_dc_slow,flag,pole,newspaper,door,football,dancing,snorkel,snorkel_flag,zomboni,dolphin,dolphin_flag,jack,balloon,digger,digger_flag,pogo,ladder,catapult,gargantuar
0,819,819,819,800,879,819,819,819,819,819,859,809,819,859,819,819,819,859,819,819,834,854
1,818.867,818.867,818.905,799.74,878.694,818.956,818.867,818.255,819,818.693,858.693,808.75,818.707,858.707,819,818.77,818.34,858.34,818.55,818.788,833.77,853.808
2,818.735,818.728,818.809,799.481,878.388,818.912,818.735,817.511,819,818.387,858.387,808.5,818.415,858.415,819,818.54,817.68,857.68,818.1,818.576,833.54,853.616
3,818.602,818.585,818.709,799.221,878.082,818.868,818.602,816.766,819,818.08,858.08,808.25,818.122,858.122,819,818.31,817.02,857.02,817.65,818.364,833.31,853.424
4,818.469,818.439,818.611,798.962,877.776,818.824,818.469,816.022,819,817.774,857.774,808,817.829,857.829,818.831,818.08,816.36,856.36,817.2,818.126,833.08,853.232
5,818.337,818.286,818.503,798.702,877.47,818.78,818.337,815.277,819,817.467,857.467,807.75,817.536,857.536,818.662,817.85,815.7,855.7,816.75,817.888,832.85,853.04
6,818.204,818.104,818.397,798.463,877.125,818.736,818.204,814.533,819,817.141,857.141,807.5,817.244,857.244,818.492,817.62,815.04,855.04,816.3,817.649,832.62,852.848
7,818.072,817.958,818.274,798.223,876.781,818.692,818.072,813.788,819,816.816,856.816,807.25,816.951,856.951,818.323,817.39,814.38,854.38,815.85,817.411,832.39,852.655
8,817.939,817.786,818.161,797.984,876.456,818.648,817.939,813.044,819,816.49,856.49,807,816.685,856.685,818.154,817.16,813.72,853.72,815.4,817.199,832.16,852.463
9,817.806,817.613,818.044,797.744,876.148,818.604,817.806,812.299,818.16,816.164,856.164,806.75,816.419,856.419,817.985,816.93,813.06,853.06,814.95,816.987,831.93,852.271
10,817.682,817.462,817.932,797.505,875.839,818.561,817.682,811.555,817.32,815.838,855.838,806.5,816.153,856.153,817.816,816.7,812.4,852.4,814.5,816.776,831.7,852.079
11,817.559,817.273,817.833,797.245,875.531,818.517,817.559,810.81,816.48,815.513,855.513,806.25,815.886,855.886,817.646,816.47,811.74,851.74,814.05,816.564,831.47,851.887
12,817.437,817.112,817.697,796.986,875.223,818.473,817.437,810.066,815.64,815.187,855.187,806,815.594,855.594,817.449,816.24,811.08,851.08,813.6,816.352,831.24,851.695
13,817.314,816.939,817.587,796.726,874.914,818.429,817.314,809.321,814.824,814.861,854.861,805.75,815.301,855.301,817.252,816.009,810.42,850.42,813.15,816.14,831.009,851.503
14,817.192,816.788,817.473,796.467,874.568,818.385,817.192,808.577,814.008,814.535,854.535,805.5,815.008,855.008,817.054,815.779,809.76,849.76,812.7,815.928,830.779,851.311
15,817.069,816.637,817.351,796.207,874.221,818.341,817.069,807.832,813.192,814.21,854.21,805.25,814.716,854.716,816.039,815.549,809.1,849.1,812.25,815.716,830.549,851.119
16,816.946,816.477,817.226,795.948,873.912,818.297,816.946,807.088,812.376,813.884,853.884,805,813.97,853.97,815.024,815.319,808.44,848.44,811.8,814.948,830.319,850.927
17,816.824,816.294,817.119,795.688,873.604,818.253,816.824,806.995,811.56,813.577,853.577,804.75,813.225,853.225,814.009,815.089,807.78,847.78,811.35,814.18,830.089,850.735
18,816.701,816.144,817.02,795.429,873.296,818.209,816.701,806.902,810.744,813.271,853.271,804.5,812.48,852.48,812.994,814.859,807.12,847.12,810.9,813.412,829.859,850.543
19,816.578,815.977,816.904,795.169,872.987,818.165,816.578,806.809,809.928,812.964,852.964,804.25,811.735,851.735,811.978,814.629,806.461,846.461,810.45,812.644,829.629,850.351
20,816.456,815.797,816.799,794.91,872.679,818.121,816.456,806.742,809.112,812.658,852.658,804,810.99,850.99,810.963,814.399,805.801,845.801,810,811.877,829.399,850.158
21,816.323,815.658,816.669,794.65,872.371,818.077,816.323,806.68,808.296,812.351,852.351,803.75,810.245,850.245,809.948,814.169,805.141,845.141,809.55,811.109,829.169,849.966
22,816.19,815.508,816.555,794.391,872.024,818.033,816.19,806.618,807.792,812.025,852.025,803.5,809.499,849.499,809.442,813.939,804.481,844.481,809.1,810.341,828.939,849.774
